ds,n.min,binID,Rs.spearman.r,Rs.spearman.p,abu
0.2,48,bin6,0.00672811799563812,0.451,0.0372925846322196
0.2,48,bin1,-0.0322094648081746,0.704,0.0170397408038048
0.2,48,bin2,-0.0156579289509054,0.595,0.0412384367211105
0.2,48,bin3,-0.0130409430959402,0.614,0.047566499364382
0.2,48,bin4,-0.00779059912409426,0.583,0.059569503393309
0.2,48,bin5,0.0508046391272591,0.055,0.0189706205350823
0.2,48,bin16,0.111191447998107,0.028,0.0294090556572676
0.2,48,bin15,0.0865197702927465,0.018,0.0230355860999097
0.2,48,bin7,-0.118272350866483,0.958,0.040418084804945
0.2,48,bin10,-0.0317179912712509,0.736,0.0503696852395522
0.2,48,bin8,-0.00122261021795424,0.488,0.0748489195522391
0.2,48,bin9,-0.108341554870567,0.964,0.0175220530838765
0.2,48,bin11,0.0422984268901341,0.114,0.24472336100664
0.2,48,bin14,0.183238150811707,0.001,0.0310194024142543
0.2,48,bin13,-0.047951758535676,0.854,0.151654311439324
0.2,48,bin12,-0.0314152877079762,0.719,0.0464554737217647
0.2,48,bin17,0.127253976592048,0.006,0.0259671535409204
0.2,48,bin18,0.135761217303275,0.002,0.0166088351548756
0.2,48,bin19,0.0287982414027165,0.295,0.0262906928345227
0.2,48,bin6,0.00672811799563812,0.459,0.0372925846322196
0.2,48,bin1,-0.0322094648081746,0.713,0.0170397408038048
0.2,48,bin2,-0.0156579289509054,0.604,0.0412384367211105
0.2,48,bin3,-0.0130409430959402,0.626,0.047566499364382
0.2,48,bin4,-0.00779059912409426,0.567,0.059569503393309
0.2,48,bin5,0.0508046391272591,0.07,0.0189706205350823
0.2,48,bin16,0.111191447998107,0.024,0.0294090556572676
0.2,48,bin15,0.0865197702927465,0.017,0.0230355860999097
0.2,48,bin7,-0.118272350866483,0.947,0.040418084804945
0.2,48,bin10,-0.0317179912712509,0.738,0.0503696852395522
0.2,48,bin8,-0.00122261021795424,0.485,0.0748489195522391
0.2,48,bin9,-0.108341554870567,0.948,0.0175220530838765
0.2,48,bin11,0.0422984268901341,0.121,0.24472336100664
0.2,48,bin14,0.183238150811707,0.001,0.0310194024142543
0.2,48,bin13,-0.047951758535676,0.854,0.151654311439324
0.2,48,bin12,-0.0314152877079762,0.726,0.0464554737217647
0.2,48,bin17,0.127253976592048,0.008,0.0259671535409204
0.2,48,bin18,0.135761217303275,0.003,0.0166088351548756
0.2,48,bin19,0.0287982414027165,0.314,0.0262906928345227
0.2,48,bin2,0.0113695816027914,0.377,0.0223960891437414
0.2,48,bin1,-0.0540911041585458,0.942,0.0124444828914051
0.2,48,bin3,0.0605368219842698,0.037,0.028896453468541
0.2,48,bin4,-0.007493907449391,0.545,0.0118587217775491
0.2,48,bin6,-0.00689477726740893,0.524,0.0220025065626826
0.2,48,bin5,-0.000858145676344912,0.502,0.0220101894729193
0.2,48,bin7,0.164025819370578,0.001,0.0390243347270515
0.2,48,bin8,0.105016681277029,0.034,0.0103408696217425
0.2,48,bin9,-0.0111500247863041,0.596,0.00591410297519515
0.2,48,bin12,0.00203225120717588,0.472,0.00529988204428683
0.2,48,bin10,0.0466476804645039,0.168,0.0110364542669451
0.2,48,bin11,0.297914421615829,0.001,0.00309916486953601
0.2,48,bin13,0.129067823425498,0.011,0.0198970841305231
0.2,48,bin37,-0.00801377365547771,0.581,0.0142002236224425
0.2,48,bin14,-0.0277026674562418,0.676,0.0382060110463588
0.2,48,bin17,0.090207520178568,0.014,0.0251157689258308
0.2,48,bin16,0.0924327361380171,0.021,0.0309528787177932
0.2,48,bin15,-0.071916707743207,0.936,0.047682477826782
0.2,48,bin18,0.0239719121910636,0.332,0.0344838838201174
0.2,48,bin19,-0.0401796505972193,0.755,0.0109438116024157
0.2,48,bin20,0.15713051436686,0.005,0.00597218903276754
0.2,48,bin21,-0.00180836618252452,0.489,0.164794481792755
0.2,48,bin22,-0.110558769592722,0.941,0.0522040878290577
0.2,48,bin29,0.0248742319777837,0.285,0.0161218963123877
0.2,48,bin23,-0.00432713819956252,0.516,0.0451170976246933
0.2,48,bin24,-0.0539004098181715,0.884,0.0260549061980765
0.2,48,bin27,0.00074302004182515,0.481,0.0642857853419324
0.2,48,bin25,-0.0679189912924068,0.87,0.014181734044191
0.2,48,bin26,-0.0474596040930497,0.884,0.0377496959267629
0.2,48,bin28,0.0491064368851336,0.15,0.0102816488699814
0.2,48,bin30,0.0327015114888182,0.248,0.00422381428491508
0.2,48,bin31,0.0784574485036836,0.057,0.00716246557368981
0.2,48,bin32,-0.0434068071929445,0.82,0.0171653365562741
0.2,48,bin33,0.271864829882014,0.001,0.00636964616764515
0.2,48,bin34,0.0511009055051799,0.191,0.00567806414298326
0.2,48,bin35,0.137924672925667,0.003,0.0063871189120103
0.2,48,bin36,0.129004842243633,0.002,0.00751761469034227
0.2,48,bin38,0.141467052815336,0.001,0.0227754659629615
0.2,48,bin41,0.194843818397031,0.001,0.00744443504224306
0.2,48,bin39,0.0542916113619868,0.073,0.0230936333531734
0.2,48,bin40,0.061622885167726,0.045,0.0122151501139913
0.2,48,bin43,0.131284590133132,0.005,0.0126063536134676
0.2,48,bin42,0.0795378234054099,0.008,0.0147919870998387
0.2,48,bin2,0.0113695816027914,0.349,0.0223960891437414
0.2,48,bin1,-0.0540911041585458,0.957,0.0124444828914051
0.2,48,bin3,0.0605368219842698,0.042,0.028896453468541
0.2,48,bin4,-0.007493907449391,0.538,0.0118587217775491
0.2,48,bin6,-0.00689477726740893,0.533,0.0220025065626826
0.2,48,bin5,-0.000858145676344912,0.506,0.0220101894729193
0.2,48,bin7,0.164025819370578,0.001,0.0390243347270515
0.2,48,bin8,0.105016681277029,0.066,0.0103408696217425
0.2,48,bin9,-0.0111500247863041,0.605,0.00591410297519515
0.2,48,bin12,0.00203225120717588,0.432,0.00529988204428683
0.2,48,bin10,0.0466476804645039,0.153,0.0110364542669451
0.2,48,bin11,0.297914421615829,0.001,0.00309916486953601
0.2,48,bin13,0.129067823425498,0.007,0.0198970841305231
0.2,48,bin37,-0.00801377365547771,0.587,0.0142002236224425
0.2,48,bin14,-0.0277026674562418,0.669,0.0382060110463588
0.2,48,bin17,0.090207520178568,0.004,0.0251157689258308
0.2,48,bin16,0.0924327361380171,0.013,0.0309528787177932
0.2,48,bin15,-0.071916707743207,0.941,0.047682477826782
0.2,48,bin18,0.0239719121910636,0.32,0.0344838838201174
0.2,48,bin19,-0.0401796505972193,0.739,0.0109438116024157
0.2,48,bin20,0.15713051436686,0.008,0.00597218903276754
0.2,48,bin21,-0.00180836618252452,0.514,0.164794481792755
0.2,48,bin22,-0.110558769592722,0.937,0.0522040878290577
0.2,48,bin29,0.0248742319777837,0.277,0.0161218963123877
0.2,48,bin23,-0.00432713819956252,0.501,0.0451170976246933
0.2,48,bin24,-0.0539004098181715,0.875,0.0260549061980765
0.2,48,bin27,0.00074302004182515,0.492,0.0642857853419324
0.2,48,bin25,-0.0679189912924068,0.865,0.014181734044191
0.2,48,bin26,-0.0474596040930497,0.871,0.0377496959267629
0.2,48,bin28,0.0491064368851336,0.155,0.0102816488699814
0.2,48,bin30,0.0327015114888182,0.242,0.00422381428491508
0.2,48,bin31,0.0784574485036836,0.056,0.00716246557368981
0.2,48,bin32,-0.0434068071929445,0.796,0.0171653365562741
0.2,48,bin33,0.271864829882014,0.001,0.00636964616764515
0.2,48,bin34,0.0511009055051799,0.182,0.00567806414298326
