	kingdom	phylum	class	order	family	genus	species
Otu1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	
Otu2	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Pyrinomonadales	Pyrinomonadaceae	RB41	
Otu3	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Massilia	
Otu4	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Pyrinomonadales	Pyrinomonadaceae	RB41	
Otu5	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured	uncultured Gemmatimonadales bacterium
Otu6	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	
Otu7	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
Otu8	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter	
Otu9	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Pyrinomonadales	Pyrinomonadaceae	RB41	Acidobacterium sp. Ac_12_G8
Otu10	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae		
Otu11	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae		
Otu12	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
Otu13	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	Ellin6067	
Otu14	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae		
Otu15	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	uncultured		
Otu16	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
Otu17	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	
Otu18	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae		
Otu19	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Pyrinomonadales	Pyrinomonadaceae	RB41	
Otu20	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	uncultured soil bacterium
Otu21	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrososphaera	
Otu22	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrocosmicus	
Otu23	Bacteria	Acidobacteria	Subgroup 6				
Otu24	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodoplanes	Ambiguous_taxa
Otu25	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	
Otu26	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	KD3-93		
Otu27	Bacteria	Acidobacteria	Holophagae	Subgroup 7			
Otu28	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	
Otu29	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	
Otu30	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter	
Otu31	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	TRA3-20		
Otu32	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	HSB OF53-F07	uncultured Chloroflexi bacterium
Otu33	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured	
Otu34	Bacteria	Proteobacteria	Deltaproteobacteria				
Otu35	Bacteria	Acidobacteria	Subgroup 6				
Otu36	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	67-14	uncultured Rubrobacteria bacterium	
Otu37	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	A21b		
Otu38	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Pyrinomonadales	Pyrinomonadaceae	RB41	
Otu39	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured	
Otu40	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Caenimonas	
Otu41	Bacteria	Acidobacteria	Subgroup 6				
Otu42	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae		
Otu43	Bacteria	Acidobacteria	Subgroup 6				
Otu44	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae (Subgroup 3)	Bryobacter	
Otu45	Bacteria	Chloroflexi	Ktedonobacteria	C0119	uncultured soil bacterium		
Otu46	Bacteria	Chloroflexi	P2-11E	uncultured Chloroflexi bacterium			
Otu47	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast			
Otu48	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Phormidiaceae	Tychonema CCAP 1459-11B	
Otu49	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	UTCFX1	uncultured bacterium
Otu50	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	uncultured		
Otu51	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae		
Otu52	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae		
Otu53	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Blastocatellales	Blastocatellaceae	uncultured	Ambiguous_taxa
Otu54	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	
Otu55	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	uncultured		
Otu56	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae		
Otu57	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	
Otu58	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	Ambiguous_taxa
Otu59	Bacteria	Acidobacteria	Holophagae	Subgroup 7	uncultured proteobacterium		
Otu60	Bacteria	Chloroflexi	KD4-96	Ambiguous_taxa			
Otu61	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	
Otu62	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	
Otu63	Bacteria	Rokubacteria	NC10	Rokubacteriales	uncultured bacterium		
Otu64	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	
Otu65	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	
Otu66	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella	
Otu67	Bacteria	Proteobacteria	Alphaproteobacteria	Dongiales	Dongiaceae	Dongia	
Otu68	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Terrimonas	
Otu69	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	
Otu70	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	IS-44	
Otu71	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Granulicella	
Otu72	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter	
Otu73	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	uncultured	
Otu74	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter	uncultured proteobacterium
Otu75	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter	
Otu76	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae		
Otu77	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae		
Otu78	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae		
Otu79	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Ambiguous_taxa	
Otu80	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	uncultured	
Otu81	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	env.OPS 17	uncultured bacterium	
Otu82	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	
Otu83	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	uncultured	uncultured bacterium	
Otu84	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	
Otu85	Bacteria	Rokubacteria	NC10	Rokubacteriales	uncultured candidate division SPAM bacterium		
Otu86	Bacteria	Acidobacteria	Acidobacteriia	Subgroup 2	Ambiguous_taxa		
Otu87	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Pyrinomonadales	Pyrinomonadaceae	RB41	
Otu88	Bacteria	Chloroflexi	Ktedonobacteria	C0119			
Otu89	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	uncultured		
Otu90	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	11月24日	uncultured Acidobacteria bacterium		
Otu91	Bacteria	Acidobacteria	Subgroup 6				
Otu92	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured	
Otu93	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
Otu94	Bacteria	Acidobacteria	Holophagae	Subgroup 7			
Otu95	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	
Otu96	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Kribbella	
Otu97	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	bacterium
Otu98	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	uncultured	
Otu99	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	
Otu100	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	uncultured		
Otu101	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola	
Otu102	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	
Otu103	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	uncultured bacterium	
Otu104	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	uncultured	uncultured alpha proteobacterium	
Otu105	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Blastocatellales	Blastocatellaceae	Stenotrophobacter	
Otu106	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	11月24日			
Otu107	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured	uncultured Gemmatimonas sp.
Otu108	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	mle1-7	
Otu109	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	
Otu110	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas	uncultured gamma proteobacterium
Otu111	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavisolibacter	
Otu112	Bacteria	Rokubacteria	NC10	Rokubacteriales	uncultured Firmicutes bacterium		
Otu113	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	
Otu114	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	metagenome
Otu115	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Pseudoduganella	uncultured bacterium
Otu116	Bacteria	Acidobacteria	Acidobacteriia	Subgroup 2	uncultured forest soil bacterium		
Otu117	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	
Otu118	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	67-14		
Otu119	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	WD2101 soil group	uncultured bacterium	
Otu120	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	uncultured Nitrospira sp.
Otu121	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	KF-JG30-B3		
Otu122	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	uncultured Sphingomonadaceae bacterium
Otu123	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	67-14		
Otu124	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae (Subgroup 3)	Bryobacter	
Otu125	Bacteria	Acidobacteria	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 10	uncultured soil bacterium
Otu126	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
Otu127	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	uncultured	
Otu128	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	
Otu129	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	
Otu130	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	
Otu131	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales Incertae Sedis	Nordella	
Otu132	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rhodanobacter	uncultured Xanthomonadaceae bacterium
Otu133	Bacteria	Actinobacteria	Acidimicrobiia	IMCC26256			
Otu134	Bacteria	Planctomycetes	Planctomycetacia	Isosphaerales	Isosphaeraceae	Singulisphaera	
Otu135	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	
Otu136	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pir4 lineage	metagenome
Otu137	Bacteria	Acidobacteria	Subgroup 17				
Otu138	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	TRA3-20		
Otu139	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	
Otu140	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Pyrinomonadales	Pyrinomonadaceae	RB41	
Otu141	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	uncultured Chloroflexi bacterium	
Otu142	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	
Otu143	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	uncultured	uncultured Oscillatoriales cyanobacterium
Otu144	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	HSB OF53-F07	uncultured bacterium
Otu145	Bacteria	Proteobacteria	Gammaproteobacteria	CCD24			
Otu146	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium	
Otu147	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	uncultured	
Otu148	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	MND1	uncultured Burkholderiaceae bacterium
Otu149	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	WD2101 soil group	uncultured planctomycete	
Otu150	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	WD2101 soil group		
Otu151	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	AKYH767	Ambiguous_taxa	
Otu152	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Phyllobacterium	
Otu153	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	
Otu154	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	
Otu155	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	
Otu156	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	WD2101 soil group		
Otu157	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	uncultured	Ambiguous_taxa	
Otu158	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	WD2101 soil group		
Otu159	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales Incertae Sedis	Nordella	
Otu160	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	
Otu161	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	SC-I-84	uncultured Nitrosomonadaceae bacterium	
Otu162	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Crossiella	uncultured bacterium
Otu163	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Acidipila	
Otu164	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	HSB OF53-F07	uncultured Ktedonobacter sp.
Otu165	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	uncultured	uncultured bacterium
Otu166	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 13	
Otu167	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pirellula	uncultured Planctomycetales bacterium
Otu168	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
Otu169	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Blastocatellales	Blastocatellaceae	Blastocatella	Ambiguous_taxa
Otu170	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae		
Otu171	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	B1-7BS	uncultured bacterium	
Otu172	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pirellula	agricultural soil bacterium SC-I-28
Otu173	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	Ambiguous_taxa	Ambiguous_taxa
Otu174	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales Incertae Sedis	uncultured	Ambiguous_taxa
Otu175	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	
Otu176	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	uncultured	uncultured bacterium	
Otu177	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	A0839		
Otu178	Bacteria	Chloroflexi	P2-11E	uncultured bacterium			
Otu179	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium	
Otu180	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	
Otu181	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	SC-I-84		
Otu182	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	uncultured		
Otu183	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	
Otu184	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	uncultured Niastella sp.
Otu185	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Pyrinomonadales	Pyrinomonadaceae	RB41	
Otu186	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	
Otu187	Bacteria	Chloroflexi	AD3	Ambiguous_taxa			
Otu188	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	uncultured		
Otu189	Bacteria	Proteobacteria	Alphaproteobacteria	uncultured			
Otu190	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	uncultured		
Otu191	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	bacteriap25	metagenome	
Otu192	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae (Subgroup 3)	Bryobacter	uncultured Holophaga sp.
Otu193	Bacteria	Acidobacteria	Subgroup 6				
Otu194	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Opitutaceae	Opitutus	
Otu195	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter	
Otu196	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	metagenome
Otu197	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	uncultured Actinomycetales bacterium
Otu198	Bacteria	Acidobacteria	Subgroup 11				
Otu199	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Dactylosporangium	Ambiguous_taxa
Otu200	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dokdonella	uncultured Dokdonella sp.
Otu201	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	WD2101 soil group	uncultured bacterium	
Otu202	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Blastocatellales	Blastocatellaceae	Aridibacter	uncultured bacterium
Otu203	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	MND1	
Otu204	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	
Otu205	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Nitrospira sp.
Otu206	Bacteria	Proteobacteria	Gammaproteobacteria	WD260	uncultured bacterium		
Otu207	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	
Otu208	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae		
Otu209	Bacteria	Acidobacteria	Subgroup 6				
Otu210	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	uncultured	uncultured bacterium
Otu211	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	uncultured		
Otu212	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	AKYH767	metagenome	
Otu213	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	uncultured		
Otu214	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	uncultured	
Otu215	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Cupriavidus	
Otu216	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	uncultured Gemmatimonas sp.
Otu217	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	Ambiguous_taxa
Otu218	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	env.OPS 17		
Otu219	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	Ellin6067	
Otu220	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	HSB OF53-F07	uncultured soil bacterium
Otu221	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	
Otu222	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Phaselicystidaceae	Phaselicystis	uncultured Polyangiaceae bacterium
Otu223	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	WD2101 soil group		
Otu224	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella	
Otu225	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rhodanobacter	
Otu226	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
Otu227	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae (Subgroup 3)	Candidatus Solibacter	
Otu228	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae (Subgroup 3)	Candidatus Solibacter	
Otu229	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	WD2101 soil group	uncultured planctomycete	
Otu230	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	67-14		
Otu231	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	mle1-7	uncultured Rhodocyclaceae bacterium
Otu232	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	uncultured		
Otu233	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae (Subgroup 3)	Candidatus Solibacter	
Otu234	Bacteria	Proteobacteria	Alphaproteobacteria	Dongiales	Dongiaceae	Dongia	uncultured Rhodospirillaceae bacterium
Otu235	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	uncultured	
Otu236	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Ramlibacter	
Otu237	Bacteria	FBP	uncultured bacterium				
Otu238	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	SC-I-84		
Otu239	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pirellula	uncultured Pirellula sp.
Otu240	Bacteria	Acidobacteria	Acidobacteriia	Subgroup 2	Ambiguous_taxa		
Otu241	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales Incertae Sedis	Nordella	Ambiguous_taxa
Otu242	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	uncultured	Ambiguous_taxa
Otu243	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	wb1-P19	uncultured bacterium
Otu244	Bacteria	Actinobacteria	Acidimicrobiia	IMCC26256	Ambiguous_taxa		
Otu245	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Blastocatellales	Blastocatellaceae	Aridibacter	
Otu246	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae (Subgroup 3)	Paludibaculum	metagenome
Otu247	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j			
Otu248	Bacteria	Gemmatimonadetes	Longimicrobia	Longimicrobiales	Longimicrobiaceae	metagenome	
Otu249	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Solitalea	Solitalea koreensis
Otu250	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Segetibacter	
